Time,X,Y,Z,Roll,Pitch,Yaw
117 35 17 14 16 12 2021,-11962.474609,9178.201172,3.063708,0.0,0.0,-1.674035
129 35 17 14 16 12 2021,-11962.583984,9178.140625,3.038965,0.0,0.0,-2.009358
141 35 17 14 16 12 2021,-11962.583984,9178.140625,3.038965,0.0,0.0,-2.009358
153 35 17 14 16 12 2021,-11962.886719,9178.072266,3.001606,0.0,0.0,-2.993129
164 35 17 14 16 12 2021,-11963.060547,9178.033203,2.980143,0.0,0.0,-3.558304
177 35 17 14 16 12 2021,-11963.137695,9178.016602,2.97069,0.0,0.0,-3.807229
188 35 17 14 16 12 2021,-11963.162109,9178.010742,2.967708,0.0,0.0,-3.88575
199 35 17 14 16 12 2021,-11963.162109,9178.010742,2.967708,0.0,0.0,-3.88575
210 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
220 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
234 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
243 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
255 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
266 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
277 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
288 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
298 35 17 14 16 12 2021,-11963.352539,9177.96875,2.946518,0.0,0.0,-5.141895
309 35 17 14 16 12 2021,-11963.371094,9177.831055,3.089254,0.0,0.0,-5.592689
321 35 17 14 16 12 2021,-11963.393555,9177.672852,3.254075,0.0,0.0,-6.113234
332 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
343 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
353 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
364 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
376 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
386 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
399 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
410 35 17 14 16 12 2021,-11963.394531,9177.662109,3.264832,0.0,0.0,-6.147206
421 35 17 14 16 12 2021,-11962.717773,9177.231445,3.498069,0.0,0.0,-5.244312
432 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
443 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
454 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
465 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
477 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
488 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
499 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
510 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
522 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
532 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
543 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
555 35 17 14 16 12 2021,-11962.462891,9177.070312,3.585693,0.0,0.0,-4.905108
